dataset,embedding,evidence_tokens,full_evidence,graph_actions,harmful_expansions,policy,policy_latency_ms,retrieval_latency_ms,seed,support_mrr,support_ndcg,support_recall,support_recall_at_2,support_recall_at_5,total_latency_ms,total_latency_ms_p95
2wiki,qwen3-embedding_0.6b,706.019,0.576,1.976,1.546,mrv_always,49.7391940029338,30.124154801946133,303,0.9663666666666667,0.8161968598067445,0.81625,0.60975,0.81625,80.00100580137223,109.33457516366607
2wiki,qwen3-embedding_0.6b,724.004,0.407,1.53,1.362,relevance_gated,38.125753498170525,30.124154801946133,303,0.96775,0.750726378393697,0.71225,0.60975,0.71225,68.38308149995282,104.87395488889888
2wiki,qwen3-embedding_0.6b,674.54,0.574,1.656,1.234,mrv_gated,40.49896029615775,30.124154801946133,303,0.9663666666666667,0.8151016086178371,0.8145,0.60975,0.8145,70.75130680622533,103.86003504972902
2wiki,qwen3-embedding_0.6b,654.492,0.753,0.713,0.0,oracle_upper_bound,40.98170939856209,30.124154801946133,303,0.9692333333333334,0.8958855196964758,0.92825,0.60975,0.92825,71.23165109730326,103.20532489567995
2wiki,qwen3-embedding_0.6b,559.944,0.292,0.0,0.0,bm25,0.012886503245681524,24.596378602087498,303,0.8686500000000001,0.6459691156090762,0.62,0.50975,0.62,24.718409406254068,35.546850005630404
2wiki,qwen3-embedding_0.6b,603.965,0.384,0.0,0.0,dense,0.015734500717371702,1.9940350006800145,303,0.9754166666666667,0.743429528486026,0.69275,0.623,0.69275,2.124745096080005,2.419800031930208
2wiki,qwen3-embedding_0.6b,581.756,0.352,0.0,0.0,rrf_fusion,0.015711597865447402,27.124164501205087,303,0.94905,0.7196434029279457,0.67625,0.59175,0.67625,27.250597002450377,38.27980504138395
hotpot,bge-m3_latest,663.462,0.669,0.0,0.0,hybrid,0.017122598132118583,13594.087895303732,101,0.9363499999999999,0.8135571595407828,0.828,0.685,0.828,13594.23626210168,366.81684986688197
hotpot,bge-m3_latest,702.409,0.728,2.0,1.742,relevance_always,38.979336799820885,13594.087895303732,101,0.9348666666666666,0.8294406089296997,0.8565,0.685,0.8565,13633.184569808189,410.168205271475
hotpot,bge-m3_latest,650.155,0.825,1.956,1.6,mrv_always,36.54664870654233,13594.087895303732,101,0.9344833333333333,0.8594357165310609,0.905,0.685,0.905,13630.744817108847,407.4643253348768
hotpot,bge-m3_latest,685.9,0.724,1.581,1.341,relevance_gated,29.686480096308514,13594.087895303732,101,0.9350166666666666,0.8284561482323985,0.8545,0.685,0.8545,13623.891242699698,402.41788523271674
hotpot,bge-m3_latest,649.843,0.822,1.538,1.198,mrv_gated,28.529584298608825,13594.087895303732,101,0.9348166666666666,0.8585878075349019,0.9035,0.685,0.9035,13622.727900203085,401.97477501351386
hotpot,bge-m3_latest,651.71,0.936,0.481,0.0,oracle_upper_bound,25.807814593659714,13594.087895303732,101,0.9396166666666665,0.9024385992024775,0.965,0.685,0.965,13620.0061327992,398.2036198489368
hotpot,bge-m3_latest,604.004,0.448,0.0,0.0,bm25,0.0144064009655267,51.793885798659176,101,0.8442166666666667,0.683419466726298,0.6975,0.549,0.6975,51.90996259939857,81.44501500064507
hotpot,bge-m3_latest,677.163,0.666,0.0,0.0,dense,0.017269100062549114,3.0046319037210196,101,0.9385,0.816807161906516,0.825,0.699,0.825,3.1360648076515645,3.5523599246516824
hotpot,bge-m3_latest,642.952,0.652,0.0,0.0,rrf_fusion,0.016468396643176675,54.86519750393927,101,0.91275,0.7903194999420302,0.8185,0.6465,0.8185,54.99121660250239,85.37027521524577
