dataset,embedding,evidence_tokens_mean,evidence_tokens_std,full_evidence_mean,full_evidence_std,graph_actions_mean,graph_actions_std,harmful_expansions_mean,harmful_expansions_std,policy,runs,support_recall_mean,support_recall_std,total_latency_ms_mean,total_latency_ms_std
2wiki,qwen3-embedding_0.6b,706.2573333333333,9.769680564549336,0.578,0.0020000000000000018,1.9763333333333333,0.002516611478423644,1.5433333333333334,0.00461880215351701,mrv_always,3,0.8175,0.0012499999999999734,135.62723423509547,89.64958915338904
2wiki,qwen3-embedding_0.6b,671.1,3.8609760424017106,0.5726666666666667,0.0011547005383792525,1.5646666666666667,0.07910330797971299,1.1486666666666667,0.0739075999700527,mrv_gated,3,0.8145833333333333,0.0003818813079129446,124.62367987097241,89.42125197974865
2wiki,qwen3-embedding_0.6b,654.492,0.0,0.753,0.0,0.713,0.0,0.0,0.0,oracle_upper_bound,3,0.92825,0.0,127.26295883037771,90.13027748135492
2wiki,qwen3-embedding_0.6b,778.273,0.0,0.419,0.0,1.982,0.0,1.796,0.0,relevance_always,3,0.71725,0.0,138.02710259566084,89.00816716918717
2wiki,qwen3-embedding_0.6b,714.923,7.992347652598722,0.4073333333333333,0.0005773502691896262,1.4266666666666667,0.08957864328808143,1.2673333333333334,0.08213606597185755,relevance_gated,3,0.712,0.000250000000000028,121.79872319940478,89.56175263742927
2wiki,qwen3-embedding_0.6b,581.756,0.0,0.352,0.0,0.0,0.0,0.0,0.0,rrf_fusion,3,0.67625,0.0,25.944358503213152,2.122179567083547
hotpot,bge-m3_latest,604.004,0.0,0.448,0.0,0.0,0.0,0.0,0.0,bm25,1,0.6975,0.0,51.90996259939857,0.0
hotpot,bge-m3_latest,677.163,0.0,0.666,0.0,0.0,0.0,0.0,0.0,dense,1,0.825,0.0,3.1360648076515645,0.0
hotpot,bge-m3_latest,663.462,0.0,0.669,0.0,0.0,0.0,0.0,0.0,hybrid,1,0.828,0.0,13594.23626210168,0.0
hotpot,bge-m3_latest,650.155,0.0,0.825,0.0,1.956,0.0,1.6,0.0,mrv_always,1,0.905,0.0,13630.744817108847,0.0
hotpot,bge-m3_latest,649.843,0.0,0.822,0.0,1.538,0.0,1.198,0.0,mrv_gated,1,0.9035,0.0,13622.727900203085,0.0
hotpot,bge-m3_latest,651.71,0.0,0.936,0.0,0.481,0.0,0.0,0.0,oracle_upper_bound,1,0.965,0.0,13620.0061327992,0.0
hotpot,bge-m3_latest,702.409,0.0,0.728,0.0,2.0,0.0,1.742,0.0,relevance_always,1,0.8565,0.0,13633.184569808189,0.0
hotpot,bge-m3_latest,685.9,0.0,0.724,0.0,1.581,0.0,1.341,0.0,relevance_gated,1,0.8545,0.0,13623.891242699698,0.0
hotpot,bge-m3_latest,642.952,0.0,0.652,0.0,0.0,0.0,0.0,0.0,rrf_fusion,1,0.8185,0.0,54.99121660250239,0.0
hotpot,qwen3-embedding_0.6b,604.004,0.0,0.448,0.0,0.0,0.0,0.0,0.0,bm25,3,0.6975,0.0,53.11360903379197,1.8905213768337465
hotpot,qwen3-embedding_0.6b,652.74,0.0,0.586,0.0,0.0,0.0,0.0,0.0,dense,3,0.785,0.0,3.1217617033980787,0.044461989595765916
hotpot,qwen3-embedding_0.6b,655.81,0.0,0.64,0.0,0.0,0.0,0.0,0.0,hybrid,3,0.814,0.0,123.71973300306126,105.85399128790813
hotpot,qwen3-embedding_0.6b,650.7606666666667,0.35792503870686715,0.808,0.0010000000000000009,1.9576666666666667,0.0005773502691895622,1.578,0.0020000000000000018,mrv_always,3,0.895,0.0005000000000000004,161.20727943015905,106.6741395902509
hotpot,qwen3-embedding_0.6b,649.4689999999999,0.992043849837281,0.806,0.003464101615137758,1.652,0.08615683373940812,1.2843333333333333,0.0861239416964489,mrv_gated,3,0.8945,0.001732050807568879,155.46995033649728,105.2013614525636
hotpot,qwen3-embedding_0.6b,645.161,0.0,0.932,0.0,0.516,0.0,0.0,0.0,oracle_upper_bound,3,0.9635,0.0,150.6686003993576,106.4137692113561
hotpot,qwen3-embedding_0.6b,691.577,0.0,0.711,0.0,2.0,0.0,1.725,0.0,relevance_always,3,0.848,0.0,163.06639770294228,107.22832707614991
hotpot,qwen3-embedding_0.6b,682.6416666666667,2.9914413471323904,0.71,0.0010000000000000009,1.706,0.07184010022264728,1.442,0.06823488843692786,relevance_gated,3,0.848,0.0005000000000000004,156.70243989746086,105.3379401506158
hotpot,qwen3-embedding_0.6b,635.161,0.0,0.62,0.0,0.0,0.0,0.0,0.0,rrf_fusion,3,0.8025,0.0,56.28360526946684,2.0201074334659475
musique,bge-m3_latest,944.102,0.0,0.09,0.0,0.0,0.0,0.0,0.0,bm25,1,0.40325,0.0,74.18527360190637,0.0
musique,bge-m3_latest,1112.365,0.0,0.172,0.0,0.0,0.0,0.0,0.0,dense,1,0.5160833333333333,0.0,3.8190320022404194,0.0
musique,bge-m3_latest,1073.411,0.0,0.164,0.0,0.0,0.0,0.0,0.0,hybrid,1,0.5185833333333333,0.0,11119.548373201862,0.0
musique,bge-m3_latest,1092.894,0.0,0.265,0.0,2.987,0.0,2.689,0.0,mrv_always,1,0.5568333333333333,0.0,11194.938089400064,0.0
musique,bge-m3_latest,1083.494,0.0,0.265,0.0,2.556,0.0,2.269,0.0,mrv_gated,1,0.56375,0.0,11183.586311898427,0.0
musique,bge-m3_latest,1073.479,0.0,0.453,0.0,0.732,0.0,0.0,0.0,oracle_upper_bound,1,0.715,0.0,11157.720550491475,0.0
musique,bge-m3_latest,1154.502,0.0,0.201,0.0,3.0,0.0,2.748,0.0,relevance_always,1,0.527,0.0,11198.269246904645,0.0
musique,bge-m3_latest,1125.084,0.0,0.2,0.0,2.492,0.0,2.253,0.0,relevance_gated,1,0.5323333333333333,0.0,11183.07630309579,0.0
musique,bge-m3_latest,1040.306,0.0,0.145,0.0,0.0,0.0,0.0,0.0,rrf_fusion,1,0.5025833333333334,0.0,77.69142590183765,0.0
musique,qwen3-embedding_0.6b,944.102,0.0,0.09,0.0,0.0,0.0,0.0,0.0,bm25,3,0.40325,0.0,76.5178168983354,4.774689904695201
musique,qwen3-embedding_0.6b,1043.43,0.0,0.178,0.0,0.0,0.0,0.0,0.0,dense,3,0.5266666666666667,0.0,3.803040267278751,0.077310252304302
musique,qwen3-embedding_0.6b,1052.023,0.0,0.156,0.0,0.0,0.0,0.0,0.0,hybrid,3,0.521,0.0,150.02952883741818,109.7969763434219
musique,qwen3-embedding_0.6b,1070.569,3.9852964757969933,0.25,0.001732050807568879,2.992,0.0017320508075689429,2.688,0.001000000000000112,mrv_always,3,0.5561388888888888,0.0004194352464039358,227.12277569932243,113.78919821561027
musique,qwen3-embedding_0.6b,1060.5513333333333,2.728924757726629,0.25466666666666665,0.0030550504633038962,2.6163333333333334,0.0865698176810678,2.3206666666666664,0.0830682450358339,mrv_gated,3,0.5627222222222222,0.00124814677437004,216.4737167012257,115.11973588597256
musique,qwen3-embedding_0.6b,1055.748,0.0,0.438,0.0,0.707,0.0,0.0,0.0,oracle_upper_bound,3,0.7114166666666666,0.0,188.9779411977312,111.59293633197939
musique,qwen3-embedding_0.6b,1115.355,0.0,0.18,0.0,3.0,0.0,2.755,0.0,relevance_always,3,0.5211666666666668,0.0,229.37905176356435,113.98614345746323
musique,qwen3-embedding_0.6b,1096.7333333333333,1.3429990071974627,0.186,0.0010000000000000009,2.5486666666666666,0.09457977232650407,2.3113333333333332,0.09055569188810467,relevance_gated,3,0.5283333333333333,0.0011666666666666412,215.95489963485548,115.30734030666476
musique,qwen3-embedding_0.6b,1020.703,0.0,0.142,0.0,0.0,0.0,0.0,0.0,rrf_fusion,3,0.5051666666666667,0.0,80.05133633563916,5.1028378393843985
