dataset,condition,policy,seeds,seed_ids,full_evidence_mean,full_evidence_std,full_evidence_min,full_evidence_max,support_recall_mean,support_recall_std,support_recall_min,support_recall_max,graph_actions_mean,graph_actions_std,graph_actions_min,graph_actions_max,harmful_expansions_mean,harmful_expansions_std,harmful_expansions_min,harmful_expansions_max,policy_latency_ms_mean,policy_latency_ms_std,policy_latency_ms_min,policy_latency_ms_max
musique,dropout_25,mrv_gated,5,101 202 303 404 505,0.23020000000000002,0.01259761882261882,0.22,0.251,0.54545,0.0053139622170697235,0.5396666666666666,0.553,2.714,0.02263846284534356,2.69,2.742,2.447,0.009137833441248655,2.437,2.458,74.18676531896926,6.30210419700347,68.99027889873832,84.09760939585976
musique,dropout_50,hybrid,5,101 202 303 404 505,0.156,0.0,0.156,0.156,0.521,0.0,0.521,0.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026887801149860023,0.0017823239952587284,0.02538240421563387,0.02898440044373274
musique,dropout_50,mrv_gated,5,101 202 303 404 505,0.1946,0.006655824516917488,0.189,0.206,0.5255166666666667,0.0037031330578909294,0.52125,0.5294166666666668,2.7386,0.019449935732541633,2.717,2.766,2.5286,0.020959484726490812,2.501,2.557,71.7539126819931,5.679633341642777,67.15820469963364,81.21349630388431
musique,false_edges_10,hybrid,5,101 202 303 404 505,0.156,0.0,0.156,0.156,0.521,0.0,0.521,0.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02658907794393599,0.0012928399628030537,0.0255669963080436,0.02882529585622251
musique,false_edges_10,mrv_gated,5,101 202 303 404 505,0.19640000000000002,0.003646916505762097,0.192,0.2,0.5168666666666667,0.0026349678471578593,0.5139166666666667,0.5206666666666667,2.7614,0.013371611720357387,2.744,2.773,2.586,0.012845232578664994,2.571,2.602,63.80521341883578,4.939925235619167,60.38696939405054,72.27678269590251
musique,false_edges_25,hybrid,5,101 202 303 404 505,0.156,0.0,0.156,0.156,0.521,0.0,0.521,0.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026562418323010206,0.001420612410943458,0.025733498856425285,0.029095194535329938
musique,false_edges_25,mrv_gated,5,101 202 303 404 505,0.1478,0.0016431676725154997,0.145,0.149,0.4807333333333333,0.0008045012257431383,0.47975,0.4815833333333333,2.934,0.0055226805085937455,2.925,2.939,2.851,0.005787918451395127,2.843,2.858,67.08624950079248,5.217432308739524,63.31750809913501,75.37041820213199
musique,false_edges_50,hybrid,5,101 202 303 404 505,0.156,0.0,0.156,0.156,0.521,0.0,0.521,0.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026620380720123647,0.0012312639307596575,0.025805197190493345,0.028785701608285308
musique,false_edges_50,mrv_gated,5,101 202 303 404 505,0.1302,0.0017888543819998333,0.129,0.133,0.46774999999999994,0.0015556795585495394,0.46575,0.4698333333333333,2.986,0.0027386127875257318,2.982,2.989,2.941,0.007245688373094841,2.929,2.947,67.25090915984474,4.6333792419565505,63.92347729532048,74.98891469882801
musique,mixed_25_25,hybrid,5,101 202 303 404 505,0.156,0.0,0.156,0.156,0.521,0.0,0.521,0.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026677561504766346,0.0016464192401804874,0.0257592995185405,0.02960540191270411
musique,mixed_25_25,mrv_gated,5,101 202 303 404 505,0.147,0.004847679857416333,0.141,0.154,0.4811833333333333,0.0032368322992291643,0.47658333333333336,0.4849166666666666,2.9724,0.007635443667528484,2.964,2.981,2.8796,0.007092249290598928,2.871,2.89,72.1071299011819,5.889230106899459,68.1774387054611,82.11094130086713
