dataset,full_evidence_delta,gated_full_evidence,gated_graph_actions,hybrid_full_evidence,query_id,question_type,support_count,support_recall_delta
hotpot,-1.0,0.0,2.0,1.0,5a7322a25542991f9a20c634,comparison,2,-0.5
hotpot,0.0,1.0,0.0,1.0,5a7323ad5542994cef4bc476,comparison,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a7323ef5542994cef4bc477,comparison,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a7324e055429901807daf8f,bridge,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a73266d5542994cef4bc47d,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a7326cb5542994cef4bc47f,bridge,2,0.0
hotpot,0.0,1.0,2.0,1.0,5a7326cd5542991f29ee2d11,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a7327265542994cef4bc480,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a7329a15542991f9a20c65f,bridge,2,0.0
hotpot,0.0,0.0,1.0,0.0,5a732aaa5542992359bc325a,bridge,2,0.0
hotpot,0.0,1.0,1.0,1.0,5a7331de5542994cef4bc4a8,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a7332935542991f9a20c67d,comparison,2,0.0
hotpot,0.0,1.0,1.0,1.0,5a73354f5542991f9a20c687,bridge,2,0.0
hotpot,0.0,1.0,2.0,1.0,5a7335b55542992359bc3290,bridge,2,0.0
hotpot,0.0,1.0,2.0,1.0,5a7336d05542992359bc3293,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a7337715542991f9a20c690,bridge,2,0.0
hotpot,0.0,1.0,2.0,1.0,5a7339c85542991f9a20c6a2,bridge,2,0.0
hotpot,0.0,0.0,1.0,0.0,5a733b835542991f9a20c6b2,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a733c925542991f9a20c6b7,comparison,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a733caa5542992359bc32a3,comparison,2,0.0
hotpot,0.0,0.0,1.0,0.0,5a733d5d5542991f29ee2d71,bridge,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a7344e95542991f9a20c6ce,bridge,2,-0.5
hotpot,0.0,1.0,0.0,1.0,5a7345185542992359bc32cb,comparison,2,0.0
hotpot,0.0,1.0,1.0,1.0,5a7345ed5542992359bc32ce,comparison,2,0.0
hotpot,0.0,1.0,1.0,1.0,5a73471a5542991f9a20c6d7,bridge,2,0.0
hotpot,0.0,1.0,1.0,1.0,5a7349125542994cef4bc505,bridge,2,0.0
